CityName,CityPopulation,CountryName,Continent,Region,LandMass,IndepYear,CountryPopulation,LifeExpectancy,GNP,GovernmentForm,HeadOfState,Capital,Language,Percentage
Oranjestad,29034,Aruba,North America,Caribbean,193,NULL,103000,78.4,828,Nonmetropolitan Territory of The Netherlands,Beatrix,Oranjestad,Dutch,5.3
Oranjestad,29034,Aruba,North America,Caribbean,193,NULL,103000,78.4,828,Nonmetropolitan Territory of The Netherlands,Beatrix,Oranjestad,English,9.5
Oranjestad,29034,Aruba,North America,Caribbean,193,NULL,103000,78.4,828,Nonmetropolitan Territory of The Netherlands,Beatrix,Oranjestad,Papiamento,76.7
Oranjestad,29034,Aruba,North America,Caribbean,193,NULL,103000,78.4,828,Nonmetropolitan Territory of The Netherlands,Beatrix,Oranjestad,Spanish,7.4
Kabul,1780000,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Balochi,0.9
Qandahar,237500,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Balochi,0.9
Herat,186800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Balochi,0.9
Mazar-e-Sharif,127800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Balochi,0.9
Kabul,1780000,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Dari,32.1
Qandahar,237500,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Dari,32.1
Herat,186800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Dari,32.1
Mazar-e-Sharif,127800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Dari,32.1
Kabul,1780000,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Pashto,52.4
Qandahar,237500,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Pashto,52.4
Herat,186800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Pashto,52.4
Mazar-e-Sharif,127800,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Pashto,52.4
Kabul,1780000,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Turkmenian,1.9
Qandahar,237500,Afghanistan,Asia,Southern and Central Asia,652090,1919,22720000,45.9,5976,Islamic Emirate,Mohammad Omar,Kabul,Turkmenian,1.9
